LTd_history,itv_LT,itv_LL,anm_develop_time,p_anm
"[-9.405930150548375e-07, -6.873082635047159e-06, -6.069797283902282e-06, -4.266363830323795e-06, -1.5792616256018428e-05, -1.771626643507023e-05, 6.06775653870504e-05, 8.93907457380714e-05]",0.0,0.0,0.0,0.0
"[-2.9330729110624674e-06, -9.405930150548375e-07, -6.873082635047159e-06, -3.939079107881745e-06, -9.108996058404849e-06, -2.4359315806222043e-05, 5.359948866869812e-05, 9.769788147113588e-05]",0.0,0.0,0.0,0.0
"[-1.6597011832420078e-05, -2.9330729110624674e-06, -9.405930150548375e-07, -6.069797283902282e-06, -9.377156374131483e-06, -2.8707273455173153e-05, 5.2790472353068044e-05, 9.79246140660957e-05]",0.0,0.0,0.0,0.0
"[-2.7262801713350462e-05, -1.6597011832420078e-05, -2.9330729110624674e-06, -6.873082635047159e-06, -4.580826959248895e-06, -3.139174748770779e-05, 5.416569475954511e-05, 9.30957163714336e-05]",0.0,0.0,0.0,0.0
"[-3.323998602001915e-05, -2.7262801713350462e-05, -1.6597011832420078e-05, -9.405930150548375e-07, -4.266363830323795e-06, -2.785638254860557e-05, 4.942970927389426e-05, 7.584581235379952e-05]",0.0,0.0,0.0,0.0
"[-3.41140458610095e-05, -3.323998602001915e-05, -2.7262801713350462e-05, -2.9330729110624674e-06, -3.939079107881745e-06, -2.4778336173803458e-05, 4.4673409746277046e-05, 6.536174351332995e-05]",0.0,0.0,0.0,0.0
"[-3.7790635004857476e-05, -3.41140458610095e-05, -3.323998602001915e-05, -1.6597011832420078e-05, -6.069797283902282e-06, -2.1278959720491878e-05, 3.762528375756249e-05, 6.09395927403039e-05]",0.0,0.0,0.0,0.0
"[-4.9580221205668776e-05, -3.7790635004857476e-05, -3.41140458610095e-05, -2.7262801713350462e-05, -6.873082635047159e-06, -1.6271081839414274e-05, 3.2982898021609904e-05, 6.202721458771944e-05]",0.0,0.0,0.0,0.0
"[-6.4179016775789e-05, -4.9580221205668776e-05, -3.7790635004857476e-05, -3.323998602001915e-05, -9.405930150548375e-07, -1.5792616256018428e-05, 3.250921240404116e-05, 6.750287240409172e-05]",0.0,0.0,0.0,0.0
"[-7.52768738723345e-05, -6.4179016775789e-05, -4.9580221205668776e-05, -3.41140458610095e-05, -2.9330729110624674e-06, -9.108996058404849e-06, 2.1854936887808746e-05, 6.905352217514638e-05]",0.0,0.0,0.0,0.0
"[-7.86787527870728e-05, -7.52768738723345e-05, -6.4179016775789e-05, -3.7790635004857476e-05, -1.6597011832420078e-05, -9.377156374131483e-06, -6.936077951442579e-06, 6.580235289689076e-05]",0.0,0.0,0.0,0.0
"[-8.445128582384496e-05, -7.86787527870728e-05, -7.52768738723345e-05, -4.9580221205668776e-05, -2.7262801713350462e-05, -4.580826959248895e-06, -2.5869789562962014e-05, 6.593760292133679e-05]",0.0,0.0,0.0,0.0
"[-9.068631207608999e-05, -8.445128582384496e-05, -7.86787527870728e-05, -6.4179016775789e-05, -3.323998602001915e-05, -4.266363830323795e-06, -2.4016559959836226e-05, 6.158585289836662e-05]",0.0,0.0,0.0,0.0
"[-9.760627044151395e-05, -9.068631207608999e-05, -8.445128582384496e-05, -7.52768738723345e-05, -3.41140458610095e-05, -3.939079107881745e-06, -1.5458805420443318e-05, 6.149015491325265e-05]",0.0,0.0,0.0,0.0
"[-0.00010465301358050176, -9.760627044151395e-05, -9.068631207608999e-05, -7.86787527870728e-05, -3.7790635004857476e-05, -6.069797283902282e-06, -1.6122812651513796e-05, 5.637452783627214e-05]",0.0,0.0,0.0,0.0
"[-0.00010124417163595093, -0.00010465301358050176, -9.760627044151395e-05, -8.445128582384496e-05, -4.9580221205668776e-05, -6.873082635047159e-06, -1.2034008081232925e-05, 5.09882191386e-05]",0.0,0.0,0.0,0.0
"[-9.606748657925245e-05, -0.00010124417163595093, -0.00010465301358050176, -9.068631207608999e-05, -6.4179016775789e-05, -9.405930150548375e-07, -1.771626643507023e-05, 5.6988712168249995e-05]",0.0,0.0,0.0,0.0
"[-9.526327586915002e-05, -9.606748657925245e-05, -0.00010124417163595093, -9.760627044151395e-05, -7.52768738723345e-05, -2.9330729110624674e-06, -2.4359315806222043e-05, 6.0597747433581284e-05]",-0.004493998596403178,-0.0,0.0,0.006026124731426556
"[-9.640366043024872e-05, -9.526327586915002e-05, -9.606748657925245e-05, -0.00010465301358050176, -7.86787527870728e-05, -1.6597011832420078e-05, -2.8707273455173153e-05, 6.41035703574103e-05]",-0.004493998596403178,-0.004493998596403178,1.0,0.005615140386995501
"[-9.648178967200933e-05, -9.640366043024872e-05, -9.526327586915002e-05, -0.00010124417163595093, -8.445128582384496e-05, -2.7262801713350462e-05, -3.139174748770779e-05, 6.943932405016609e-05]",-0.004493998596403178,-0.008987997192806355,2.0,0.00493649530145261
"[-9.434740422208415e-05, -9.648178967200933e-05, -9.640366043024872e-05, -9.606748657925245e-05, -9.068631207608999e-05, -3.323998602001915e-05, -2.785638254860557e-05, 6.871031903004278e-05]",-0.004493998596403178,-0.013481995789209533,3.0,0.004083159327684399
"[-9.004638335803391e-05, -9.434740422208415e-05, -9.648178967200933e-05, -9.526327586915002e-05, -9.760627044151395e-05, -3.41140458610095e-05, -2.4778336173803458e-05, 6.943129836359888e-05]",-0.004493998596403178,-0.01797599438561271,4.0,0.004289915324930186
"[-8.306228084517967e-05, -9.004638335803391e-05, -9.434740422208415e-05, -9.640366043024872e-05, -0.00010465301358050176, -3.7790635004857476e-05, -2.1278959720491878e-05, 6.90445634958016e-05]",-0.004493998596403178,-0.022469992982015886,5.0,0.004143640014361003
"[-8.395197628362376e-05, -8.306228084517967e-05, -9.004638335803391e-05, -9.648178967200933e-05, -0.00010124417163595093, -4.9580221205668776e-05, -1.6271081839414274e-05, 6.621755919797923e-05]",-0.004493998596403178,-0.026963991578419066,6.0,0.004023711862255209
"[-8.275667066967304e-05, -8.395197628362376e-05, -8.306228084517967e-05, -9.434740422208415e-05, -9.606748657925245e-05, -6.4179016775789e-05, -1.5792616256018428e-05, 6.597099597686075e-05]",-0.004493998596403178,-0.031457990174822245,7.0,0.003907993834480446
"[-8.156884495311429e-05, -8.275667066967304e-05, -8.395197628362376e-05, -9.004638335803391e-05, -9.526327586915002e-05, -7.52768738723345e-05, -9.108996058404849e-06, 6.958525728345553e-05]",-0.004493998596403178,-0.03595198877122542,8.0,0.0038590595486810322
"[-8.038187897892488e-05, -8.156884495311429e-05, -8.275667066967304e-05, -8.306228084517967e-05, -9.640366043024872e-05, -7.86787527870728e-05, -9.377156374131483e-06, 6.710773597913158e-05]",-0.004493998596403178,-0.0404459873676286,9.0,0.0034149538295465826
"[-7.983280010702274e-05, -8.038187897892488e-05, -8.156884495311429e-05, -8.395197628362376e-05, -9.648178967200933e-05, -8.445128582384496e-05, -4.580826959248895e-06, 6.616911067449845e-05]",-0.004493998596403178,-0.04493998596403177,10.0,0.003360264269487219
"[-7.497644582863654e-05, -7.983280010702274e-05, -8.038187897892488e-05, -8.275667066967304e-05, -9.434740422208415e-05, -9.068631207608999e-05, -4.266363830323795e-06, 6.770313550236862e-05]",-0.004493998596403178,-0.049433984560434956,11.0,0.003194219346864517
"[-7.376491643560685e-05, -7.497644582863654e-05, -7.983280010702274e-05, -8.156884495311429e-05, -9.004638335803391e-05, -9.760627044151395e-05, -3.939079107881745e-06, 6.75941620304415e-05]",-0.004493998596403178,-0.05392798315683813,12.0,0.003303147922184449
"[-7.143244621386748e-05, -7.376491643560685e-05, -7.497644582863654e-05, -8.038187897892488e-05, -8.306228084517967e-05, -0.00010465301358050176, -6.069797283902282e-06, 6.706173853794853e-05]",-0.004493998596403178,-0.05842198175324131,13.0,0.00337117797786935
"[-7.266007847770616e-05, -7.143244621386748e-05, -7.376491643560685e-05, -7.983280010702274e-05, -8.395197628362376e-05, -0.00010124417163595093, -6.873082635047159e-06, 6.448832442168874e-05]",-0.004493998596403178,-0.06291598034964449,14.0,0.0030977949969750286
"[-7.356360717091875e-05, -7.266007847770616e-05, -7.143244621386748e-05, -7.497644582863654e-05, -8.275667066967304e-05, -9.606748657925245e-05, -9.405930150548375e-07, 6.06775653870504e-05]",-0.004493998596403178,-0.06740997894604767,15.0,0.003012317887541413
"[-6.977214429696673e-05, -7.356360717091875e-05, -7.266007847770616e-05, -7.376491643560685e-05, -8.156884495311429e-05, -9.526327586915002e-05, -2.9330729110624674e-06, 5.359948866869812e-05]",-0.004493998596403178,-0.07190397754245084,16.0,0.003189675544989441
"[-6.789323306287805e-05, -6.977214429696673e-05, -7.356360717091875e-05, -7.143244621386748e-05, -8.038187897892488e-05, -9.640366043024872e-05, -1.6597011832420078e-05, 5.2790472353068044e-05]",-0.004493998596403178,-0.07639797613885402,17.0,0.00347486359299565
